ticker,timestamp,open,high,low,close,volume
ACB,2022-09-05 00:00,14391.9525393,14509.1985885,14333.3295147,14362.641027,2307700.0
ACB,2022-09-06 00:00,14362.641027,14479.8870762,14333.3295147,14450.5755639,2405200.0
ACB,2022-09-07 00:00,14362.641027,14421.2640516,14245.3949778,14245.3949778,3214400.0
ACB,2022-09-08 00:00,14304.0180024,14333.3295147,14069.525904,14069.525904,2080700.0
ACB,2022-09-09 00:00,14186.7719532,14186.7719532,13922.9683425,14069.525904,2227900.0
ACB,2022-09-12 00:00,14069.525904,14186.7719532,13922.9683425,13922.9683425,1416163.0
ACB,2022-09-13 00:00,14010.9028794,14069.525904,13835.0338056,13952.2798548,1486664.0
ACB,2022-09-14 00:00,13776.410781,13835.0338056,13688.4762441,13776.410781,2113996.0
ACB,2022-09-15 00:00,13835.0338056,13835.0338056,13747.0992687,13805.7222933,1595118.0
ACB,2022-09-16 00:00,13776.410781,13835.0338056,13541.9186826,13571.2301949,2125534.0
ACB,2022-09-19 00:00,13571.2301949,13600.5417072,13307.4265842,13395.3611211,2564500.0
ACB,2022-09-20 00:00,13424.6726334,13453.9841457,13248.8035596,13424.6726334,1912949.0
ACB,2022-09-21 00:00,13395.3611211,13395.3611211,13248.8035596,13248.8035596,1295851.0
ACB,2022-09-22 00:00,13190.180535,13366.0496088,13190.180535,13366.0496088,1831367.0
ACB,2022-09-23 00:00,13278.1150719,13453.9841457,13248.8035596,13248.8035596,1469851.0
ACB,2022-09-26 00:00,13131.5575104,13190.180535,12779.8193628,13014.3114612,4550765.0
ACB,2022-09-27 00:00,13014.3114612,13160.8690227,12955.6884366,13131.5575104,1472619.0
ACB,2022-09-28 00:00,12926.3769243,13043.6229735,12867.7538997,12897.065412,2515887.0
ACB,2022-09-29 00:00,12984.9999489,12984.9999489,12838.4423874,12897.065412,3857767.0
ACB,2022-09-30 00:00,12897.065412,13160.8690227,12809.1308751,13014.3114612,4224536.0
